Timestamp,In which GWF campus are you currently enrolled? ,Please indicate how the programme is meeting your expectations this year: ,Please describe 3 positive aspects of the programme that you have experienced this year. ,Name 3 challenges you have experienced in the programme so far.,How could we improve the BYA Programme?,Did you find your stationery packs useful?,What is the most important thing you have learnt about yourself this year so far? ,What will you do differently in the second half of the year? ,Are you likely to recommend this programme to others? ,Please give a reason for your answer above. ,Feel free to share a message with your BYA Team (Facilitators and Coordinator).,Feel free to share a message with the 2024 FA Students. (PDLC students to leave this question blank)
7/16/2024 8:34:42,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I'm glad I was selected to be a BYA student in 2024, because this program is playing a major role in increasing my computer skills, and even not to forget that it can enhance somebody's vocabulary when it comes to speaking English. I've experienced so many things about excel, word processing and presentation which I wasn't aware of it.     ",The main challenges that I've came across at the beginning of the year is that I was not used of using laptops and computers. I was even failing to communicate with others and playing 30 second game.  ,According to my own opinion I can say there's no need to improve it because the program I feel like it is suitable for everyone. ,Yes,The thing I have learnt about myself is that I am responsible of shaping my own future.,"I'll make sure I pass my modules, write homework's and respect my facilitators.  ",Yes,This program is good for young people.,,
7/16/2024 8:34:56,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I gained more experience in computer ,Byte Size and working in groups.",Time  management when writing the exams,I think you could improve  BYA Program by  preparing a student time table  for the year so that they  can be able to know very well what are they going to do for the year. ,Yes,I have learnt that i can do more in  my life this is not the end of my career and i have passed all  my modules so far . ,I think it is better for me to continue with my studies.,Yes,"yes , because  it is encouraging  and they can be excited with this program.",I would like to thank my facilitators and coordinator  that they take their time to teach us and being patient to us when preparing for exams to us it means a lot. ,I am sure you are going to enjoy your classes .
7/16/2024 8:37:45,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Passing my modules, Achieving, Learning knowledge skills","fear of failure, flue, trying to master my module in the same time",Adding more campuses and courses into the lot of areas.,Yes,To love my self and love everyone around me and keep respect everywhere I go.,I will be learning in order to achieve until I reach my goals.,Yes,I am going to tell and let others know about this program so that they could apply and be able to study.,"Since ever I have been a BYA student I have been happy it has been a good journey to me, I love my all facilitators and coordinator and I'm very passionate about it ever since.","As you will be a 2024 students all you need first is to love your pay attention to your facilitators keep your mind in all your work, and make sure that you understand and work hard and keep achieving. "
7/16/2024 8:39:31,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I am very glad that I was selected to be part of the BYA, I am experiencing such pleasant and helpful things in this programs. I am doing way much better on my vocabulary all thanks to the English lesson. I've experienced so many things about Excel, word processing and presentation  and as for that I am playing a huge role on increasing  my computer skills.","The challenges I've experienced ever since I stated a GWF was playing 30 second game, but I ended up adapting. Typing on a computer and communicating with other people or having to speak out loud in front of the whole class was also challenging at the beginning.",I don't think the is anything that needs to be improve on this program I feel and think that is is good for everyone.,Yes,The most important thing I leant is to be responsible and respect everyone including my classmates.,I will make sure that I pass all my modules with distinctions and participate more in class.,Yes,This program is good for other young people and it has lot of opportunities in life.,Thank you for always being patient with me even when I was a bit rude at the beginning of lesson but you didn't give up on me.,
7/16/2024 10:32:21,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1. Learning to be confident when speaking English.
2. Learning to communicate in a professional and ethical way.
3. And having fun while learning new things.","1. Obtaining 100% in my modules.
2. Making friends.
3. Understanding my classmates.",Make sure that all phones are off during class also facilitators cell phones.,Yes,That I'm unique in a fun and beautiful way.,Be more kind and more hard working.,Yes,Because I can see the better me through good work foundation and I would to see more of that from our youth.,Thank you so much for your patient and dedication' all your hard work in me and everyone else you guys do a wonderful and beautiful job. I appreciate you guys.  ,"Keep on working hard guys, the future is in your hands and without you there is no future. "
7/16/2024 10:32:59,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"They help learners not only in doing ICDL but building themselves.
Learning english to improve and to be comfortable with english.
Activities that are done such as reading.","Learning to speak english everyday.
Working with different people and different race.
How to use and understand computer. ",By adding more facilitators to the BYA programme.  ,Yes,That I am not shy and love being around people and that I have great computer skills.,Be calm and prepare everyday I come to school to understand better in class. ,Yes,Because you learn more than just computer but also about yourself and learn working skills meaning they also prepare you for work. ,Continue building the learners as you do and being the best at what you do we appreciate you alot.,Be the best at what you do and allow yourself to learn and good luck on everything. 
7/16/2024 10:38:05,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Less chat, No Littering, Stop discrimination","Sabotaging
Laughing one another
Less sharing ideas probably","Improve the learning place to many classes, also their equipment",Yes,They have describe my personality ,I will try not to be a shy person change what they say,No,Shy people always be afraid to do what they want on a crowd,Facilitator are always showing us as candidate way to full fill our dreams ,Try to work or learn as a team sharing different ideas together
7/16/2024 10:39:27,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1. I managed to pass all the three Modules that we did.
2. The facilitators are so passionate.
3. I have a good relationship with other students.","1. I had a challenge with one Module (Excel) the first time I was introduced to it.
2. Aiming higher grades for the past three Modules.
3. Getting used to my classmates.",The facilitators must learn not to talk bad about other students when they are absent.,Yes,I have learnt that I am an introvert person also good at building relationships with other people.,I will make sure that I get higher grades and do extra classes maybe thrice a week.,Yes,"Here at Good Work Foundation there is love, patience, and good facilitators who knows their work properly. They make sure that their students exit the premises having more and wanting to know more.","To the Facilitators and Coordinator, "" Keep up the good work you are doing, I hope the next generation learn from you as I have learnt from you.""",I appreciate their hard work and the love they showed me and my classmates.
7/16/2024 10:40:01,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1.Being able to work in a group.
2.Learning how to speak well with others. 
3.I have also learned that this program is not only about learning computer but also a program that help us improve our English. ","1.Speaking good English.
2.Speaking in front of many peoples.
3.Attending everyday sometimes even on weekends.
",By adding more hours of attending because 3hours is not enough.,Yes,"Is that I have a good listen skill, whenever the facilitators are teaching or speaking I'm always all ears and I can easily make friends. ",I will always ask whenever I don't understand and I will have to attend extra hours in order for me to do well in all my modules. ,Yes,Because it is a program that has helped many youth and it is not too costly everyone can afford to be here. ,"I'd like to share a massage to facilitators to continue doing a great job for the community, you are doing a great job and do not give up on teaching us even though sometimes we are giving you headache but bear with us.","I will like to say to my fellow student to continue to learn hard and not to loose focus we've come a long way and we are going far, I know we will make it and make the campus manager proud."
7/16/2024 10:40:12,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Good team working.
 ICDL  modules.
Loving each other.","Presentation 
Meeting new people
Improving my law self esteem ",By asking all us questions  if you don't answer it correctly they punished us until we know the answer .,Yes,I have learn how to use a computer properly,I will start telling lot of young people about GWF,Yes,"Because i improved lot of things such as good communication , my English and there some course that they can charges their life out there.   ","Keep on teaching us good things, loving us , treating us equal ,respect and caring","To all 2024 students success is through hard working, always value your self and respect others. "
7/16/2024 10:40:53,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Respect
Caring and loving
Best communication 
","Presentation it was hard but i manage to adapt
Talking English 
Meeting new people",By adding more classes and facilitators,Yes,I have learn that if  I can work hard I can achieve my goals/ fulfill my dreams,Is to work hard on my studies and make sure I pass the modules that we going to write,Yes,Because this program can open other doors/or fulfill their dreams as mine.,"Thank you for choosing  me as a BYA student for 2024, its mean a lot to me i think this opportunity will open doors for me. You guys you are amazing ,you treat us with love and you also caring.","To all student you guys you are amazing ,you are loving and caring always."
7/16/2024 10:41:44,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"learning new things
making new friends
Respecting each other"," Being slow while using a computer
 Sometimes we have a problem with nertwork
It was little bit hard to adapt and making new friends 
",Providing more computers so  that students can practice  durind their spare time,Yes,I AM  capable of learning new things is just that i dont give myself enought time,I will practice more during my spare time so that i can improve my results,Yes,This programme helped a lot of people it  has opened oppotunities for others many people know how to opparate a computer now because of this program ,To my BYA Facilitators thank you for being petient with me now I know how to oparate a computer because of you guys I appreciate your love and affort that your giving us as students and we are greatful.,"It was little bit hard when we started  some of us it was our first time using a computer, but Am glad we made it this far an now we see the light  everything seems little bit easy so lets keep it up guys we are already there."
7/16/2024 10:41:54,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"My positive aspect of the programme I have this year , I have learn a lot about computer literacy and I am enjoying it. I also love all the activities that we are doing outside the class like Yoga and also games.",What challenged me so far it was module 6 Excel it was too hard for me to understand but I did try. Also the module (Data base) that I have started now is kind difficult for me but I hope I will manage when time goes by. The last challenge that I am facing is that I am a shy person and everyday I have to be around people and that hard for me because I have to face them even I am not talkative .,The BYA programme can be improved by continuing giving the students knowledge about the computer also they can also add another module like creating time for the students to teach each other so that they can gain more communication skills.,Yes,What I have learnt is that no matter how hard I face challenges to my modules there's always a solution or a way of doing it and I make sure that I pass.,I have to learn how to communicate with people take my shy away so that I can be prepared if I get a job I can be able to face people.,Yes,As a BYA student I have learn a lot so I wish others could come and see what I saw and learn the joy and support that I got here at Good work Foundation.,My fellow BYA Team I am glad that I met you because you brought smile on my face I pray that all of us could get jobs to feed our families and I thank all my facilitators and Coordinator to give the chance or opportunity to be part of the BYA Team .,"I am happy for you all 2024 FA Students I hope you get what you were looking for and continue teach others  about care, love and sharing."
7/16/2024 10:42:25,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Engaging in new environment.
Learning with confidence.
Generating new ideas and sharing knowledge.  ","Obtaining high percentage in all my modules.
Presenting on a crowded environment.
Having new friends.",Teaching with understanding and on time.,Yes,"That if I can well present my self, thing will be easy for me to explore and have fun ",Obtaining 99% on my modules.,Yes,"Because this program is fun, it is easy to improve your self confidence.","Thank you for teaching me with understanding, it was hard to learn but I managed to make it.","Thank you for co-operating with me, I enjoy being with you and it is fun to have you. "
7/16/2024 10:43:18,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1 Treating us equal .
2 Good communication from our facilitators.
3 Gwf give us more effort.","1 We do new thing unexpectedly .
2 if you do not follow the instruction you will have a problem .
3 if you came late many time they sort you out .

",by adding extra classes so that we could spend more time than 3 hours per day .,Neutral,My self discipline . ,To focus a lot to every thing i am doing,Yes,Becouse this program is good and teach us technology in computers .,The ( Facilitators and Coordinator) they teach us easy so that we can understand well and thy treat us good as the facilitators .,As student i can say that it was good to meet every student in the campus thanks .
7/16/2024 10:44:37,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I have learn to communicate better 
l have learn to work work well with others
l have learn to be patience with others and not to judge others","l did strangle to make friends at the beginning
 I did strangle the languages
I did strangle with my studiessometimes   ",By working hard and listen to our facilitators,Yes,I have learn to not look down upon myself and not give up ,I would try to work more harder than before to improve my marks,Yes,Its a good environment to be and it has change me to be a better person so l could recommend others as well,I am grateful to be a part of BYA and l promise to be a good student by doing all school work,I will be a good student that always listen to my facilitators and do my work on time and properly
7/16/2024 10:44:41,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Respect each other ,communication and learn to be a critical thinker by playing 30 second and 5 second games .",Standing in front of peoples presenting and also meeting new peoples and starting to communicate with them everyday . ,You can improve it by building more class for BYA students so that we can have all activities in inside our class -rooms.,Yes,I have learn that am a good motivator and i have become a critical thinker ,I will be able to stand during the people and do my presentation with confidence and understanding .,Yes,Yes because they must also come a learn more about how to use a computer and be able to build their future at BYA.,Thanks for being patient with me I have learn a lot of things since I became a BYA student,You must always treat your students with love and respect and also be patient with them .
7/16/2024 10:44:51,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,Good communications. Treating people equally. Respecting each other.,To speak english all the time when we are inside the class . To have an excel challenge. To stand in front of people.,By adding more BYA classes.,Yes,"I have learnt that I should communicate with other people even if I don't know them, also to be a participant in class.",I will be a good participant and communicate with other people.,Yes,Because Good Work Foundation is a good campus that you can learn lot of things.,Thank you so much for being patient with me since I have become a BYA student and help me in many of things i did not know.,When you become facilitators you must treat your student with love and be patient with them.
7/16/2024 10:45:27,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I made good friends. 
My social skills have improved quite well. I can now easily interact with people, I am not so shy anymore.
I experienced the greatest form of love and support. It is a really great place to be.
","I struggled asking for help when I needed it, since I was not yet used to engaging with people.
I found some of the modules a bit challenging, but I managed to pull through with the help of my fellow students and facilitators.
 ",By adding more hours to the class interactions.,Yes,I have learnt that I have great people skills.,"Trust myself more and not be too hard on myself, understanding that it is okay to make mistakes.",Yes,"It is a very good and informative programme, and it can open a lot of doors.","Thank you for your dedication, love and support. Your efforts are noticeable.","You are very welcoming, thank you for your hard work."
7/16/2024 10:45:28,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Good communication with our facilitators.
Learning some new skills and ideas.
Learning to improve  English. 
","By speaking in front of people.
By meeting new people who you don't know them.
To communicate with other people who you don't know them.
",By continue giving the best education.,Yes,I have learnt that what kind of a person I am and what I have to do to be able to achieve my goals.,I will continue study hard so that i can be able to finish my cause in high levels. ,Yes,because this programmer can help many people who need education . ,All I can say is I appreciate your efforts and your hard work towards us as students .,I would like to advice you that we need to study have so that we can achieve our goals and treat each other equal.  
